Entry,Film,Director,Year of cinema release,No of Oscars won,Country
1,Brief Encounter,David Lean ,1945,,UK
2,Casablanca,Michael Curtiz,1942,3,USA
3,Before Sunrise,Richard Linklater,1995,,USA
3,Before Sunset,Richard Linklater,2004,,USA
4,Breathless,Jean-Luc Godard,1960,,France
5,In the Mood for Love,Kar Wai Wong,2000,,Hong Kong
6,The Apartment,Billy Wilder,1960,,USA
7,Hannah & Her Sisters,Woody Allen ,1986,3,USA
8,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,1,USA
9,Room With a View,James Ivory,1985,3,UK
10,Jules et Jim,François Truffaut,1962,,France
11,All That Heaven Allows,Douglas Sirk,1955,,USA
12,Gone with the Wind,Victor Fleming,1939,8,USA
13,An Affair to Remember,Leo McCarey,1957,,USA
14,Umbrellas of Cherbourg,Jaques Demy ,1964,,France
15,Lost in Translation,Sofia Coppola,2003,1,USA
15,Roman Holiday,William Wyler,1953,3,USA
15,Wall-E,Andrew Stanton,2008,1,USA
18,My Night With Maud,Eric Rohmer,1969,,France
19,Voyage to Italy,Roberto Rossellini,1954,,Italy
20,Dr Zhivago,David Lean,1965,5,USA
21,Harold & Maude,Hal Ashby,1971,,USA
22,When Harry Met Sally,Rob Reiner,1989,,USA
23,Say Anything....,Cameron crowe,1989,,USA
24,Fabulous Baker Boys,Steve Kloves,1989,,USA
25,A Matter of Life & Death," Emeric Pressburger, Michael Powell",1946,,UK
